WS_001_FLOW_MEAN,WS_001_FLOW_MIN,WS_001_FLOW_MAX,WS_001_CONC_MEAN,WS_001_CONC_MIN,WS_001_CONC_MAX,DMW_FLOW_MEAN,DMW_FLOW_MIN,DMW_FLOW_MAX,ALK_FLOW_MEAN,ALK_FLOW_MIN,ALK_FLOW_MAX,WS_002_FLOW_MEAN,WS_002_FLOW_MIN,WS_002_FLOW_MAX,WS_002_CONC_MEAN,WS_002_CONC_MIN,WS_002_CONC_MAX,RPM_MEAN,RPM_MIN,RPM_MAX,PLANT_A,BAD_YIELD
90.314098,87.290196,91.663928,88.603290,88.303505,88.975702,88.597187,88.598325,88.595852,90.228070,87.127372,91.439629,90.275184,87.157138,91.457159,90.657837,88.233234,91.656863,5044.216385,5043.883746,5044.403746,0,0
87.112035,87.290196,87.017004,92.930557,92.949007,92.911383,92.930550,92.934958,92.918340,86.453545,86.638420,86.425383,86.499095,86.687034,86.476509,86.730213,86.910021,86.664397,5044.703607,5044.193746,5045.163746,1,1
88.711845,88.322587,90.173405,91.902882,91.682021,92.292265,91.895358,91.695920,92.300842,90.088789,89.083180,92.442479,89.948137,89.015495,92.164223,89.254603,88.894840,90.522211,5042.958121,5041.553746,5044.333746,0,0
91.270075,91.333725,91.225539,88.603569,88.634127,88.582426,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.482531,91.551701,91.439532,91.241061,91.320731,91.203002,5044.481802,5044.123746,5044.733746,1,0
91.666515,91.677855,91.663928,88.603718,88.633929,88.582770,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.483319,91.543836,91.459107,91.625639,91.651534,91.543397,5030.739649,5024.303746,5036.353746,0,0
87.248254,87.462261,87.192360,92.930304,92.956782,92.903906,92.930550,92.934958,92.918340,86.453545,86.638420,86.425383,86.495926,86.671507,86.477630,86.718294,86.910021,86.664397,5044.588399,5044.113746,5044.843746,1,1
87.135858,87.376229,87.104682,92.930246,92.929323,92.925744,92.930550,92.934958,92.918340,86.453545,86.638420,86.425383,86.497429,86.686691,86.469492,86.719089,86.910021,86.664397,5044.475760,5044.233746,5044.763746,1,1
91.193719,91.333725,91.137861,88.603581,88.630190,88.586231,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.484709,91.554246,91.455639,91.366605,91.430998,91.316467,5044.721524,5044.483746,5044.973746,0,0
91.474098,91.591823,91.400894,88.603342,88.631032,88.583620,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.483242,91.551423,91.445376,91.152862,91.210463,91.089537,5043.520691,5042.863746,5044.053746,0,0
87.323388,87.462261,87.280037,92.930250,92.963678,92.897058,92.930550,92.934958,92.918340,87.957784,88.105276,87.929657,87.925793,88.087094,87.901033,87.636832,87.792163,87.572118,5041.886246,5040.393746,5043.033746,0,0
91.755088,91.849920,91.751606,88.603687,88.632332,88.581785,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.485254,91.552071,91.455069,91.562072,91.651534,91.543397,5036.252149,5033.243746,5039.743746,0,0
91.662850,91.677855,91.663928,88.603701,88.634523,88.583756,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.483665,91.546057,91.454118,91.525521,91.541266,91.543397,5037.627218,5034.233746,5040.853746,0,0
91.542632,91.505790,91.926961,88.602845,88.557519,88.583202,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.482722,91.535740,91.466329,91.693473,91.761802,91.997258,5032.252418,4501.843746,5041.583746,1,0
91.574277,91.677855,91.576250,88.603620,88.632134,88.581502,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.489378,91.552164,91.451980,91.536645,91.651534,91.429932,5041.751038,5040.843746,5042.423746,0,0
